Region,State,Year of Year,Death Penalty Status,Murder Rate,Number of Records
South,Kentucky,1990,Death Penalty,7.16,1
South,Louisiana,1990,Death Penalty,17.16,1
Northeast,Maine,1990,No Death Penalty,2.44,1
South,Maryland,1990,Death Penalty,11.54,1
Northeast,Massachusetts,1990,No Death Penalty,4.04,1
Midwest,Michigan,1990,No Death Penalty,10.45,1
Midwest,Minnesota,1990,No Death Penalty,2.67,1
South,Mississippi,1990,Death Penalty,12.16,1
Midwest,Missouri,1990,Death Penalty,8.77,1
West,Montana,1990,Death Penalty,4.88,1
Midwest,Nebraska,1990,Death Penalty,2.72,1
West,Nevada,1990,Death Penalty,9.65,1
Northeast,New Hampshire,1990,Death Penalty,1.89,1
Northeast,New Jersey,1990,Death Penalty,5.59,1
West,New Mexico,1990,Death Penalty,9.17,1
Northeast,New York,1990,No Death Penalty,14.48,1
South,North Carolina,1990,Death Penalty,10.73,1
Midwest,North Dakota,1990,No Death Penalty,0.78,1
Midwest,Ohio,1990,Death Penalty,6.11,1
South,Oklahoma,1990,Death Penalty,8.04,1
West,Oregon,1990,Death Penalty,3.8,1
Northeast,Pennsylvania,1990,Death Penalty,6.74,1
Northeast,Rhode Island,1990,No Death Penalty,4.78,1
South,South Carolina,1990,Death Penalty,11.19,1
Midwest,South Dakota,1990,Death Penalty,2.01,1
South,Tennessee,1990,Death Penalty,10.48,1
South,Texas,1990,Death Penalty,14.06,1
West,Utah,1990,Death Penalty,3.02,1
Northeast,Vermont,1990,No Death Penalty,2.31,1
South,Virginia,1990,Death Penalty,8.81,1
West,Washington,1990,Death Penalty,4.89,1
South,West Virginia,1990,No Death Penalty,5.69,1
Midwest,Wisconsin,1990,No Death Penalty,4.6,1
West,Wyoming,1990,Death Penalty,4.85,1
Midwest,x-Midwest,1990,Region,7,1
Northeast,x-Northeast,1990,Region,8.6,1
South,x-South,1990,Region,11.8,1
United States,x-United States,1990,Region,9.4,1
West,x-West,1990,Region,9.1,1
South,Alabama,1991,Death Penalty,11.47,1
